Parc_Id,Address Full_c,Parc_Prop_Class,Parc_Forc_Year,Parc_Prop_Assmt,Parc_Minimum_Bid,Cof_Area_Name,Parc_Str_Reivest_Area,Parc_BrownField,Website Publish End Date,Flyer Created,Flyer Published,Constant Contact Sched,Parc_Year_Built,Legal Description,FH_Status,parc_SHOW__PID::Showing Date,Offer Deadline,FH_Asking Price,Parc_Asking_Price,GCLB Owned,Parc_LRC_Sold,R4R Status,Tbl_Prop_Cat_Meaning,A_parc_CP__PID Interest::Adopt Date,A_parc_CP__PID Interest::Adopt_Void_Date
4001228004,"3212 BUICK ST
FLINT, MI 48505-4295",401,2024,550,3954.72,Green Neighborhood,,A,11/11/2025,11/04/2025,11/4/2025,11/04/2025,1926,HILLCREST S 52.5 FT OF E 20 FT OF LOT 241 AND S 52.5 FT OF LOTS 243 AND 245,Reviewing Offers,11/10/2025,,10000,0,,,,,,
4001252034,"329 E DARTMOUTH ST
FLINT, MI 48505",401,2022,5800,2901.17,Green Neighborhood,,A,,,,,1927,HILLCREST LOT 594,Ready to Schedule,05/16/2023,,15200,0,,,,,,
4121326031,"3310 CHAMBERS ST
FLINT, MI 48507",401,2023,,2253.02,,,A,,,,,,CHAMBERS PARK LOT 29,Needs Cleanout,,,10000,,,,,,,
4635381043,"3415 BROWNELL BLVD
FLINT, MI 48504",401,2023,,22921.61,,,A,,,,,1947,WOODWARD SQUARE LOT 24 EXC WLY 6 FT.,Needs Cleanout,,,12000,,,,,,,
4635381042,"3419 BROWNELL BLVD
FLINT, MI 48504",402,2014,8100,2892.64,Traditional Neighborhood,,A,,,,,,WOODWARD SQUARE LOT 25 EXC WLY 6 FT,,,,,0,,,,Vacant Lot,,
4635485009,"3506 RACE ST
FLINT, MI 48504-3512",401,2024,,15959.11,,,A,,,,,1949,DONNELLY ADDITION LOT 79.,Needs Cleanout,,,9000,,,,,,,
4635384005,"3606 LE ERDA AVE
FLINT, MI 48504",401,2009,23600,3337.11,Green Neighborhood,,A,,,,,1949,WOODWARD SQUARE LOT 325 AND NLY 5.5 FT OF LOT 326,Cleaned Out,,,12000,0,,,,,,
4015432032,"3811 W KEARSLEY ST
FLINT, MI 48532-3853",401,2024,,3403.39,,,A,,,,,1972,WEST COURT GARDENS LOT 110,Needs Pictures,,,15000,,,,,,,
4022280012,"3817 CLAIRMONT ST
FLINT, MI 48532",401,2023,,4643.37,,,A,11/25/2025,11/20/2025,11/20/2025,04/01/2025,1927,CHEVROLET SUBDIVISION LOT 713.,Reviewing Offers,11/24/2025,,24000,,,,,,,
4635479018,"3913  RACE ST
FLINT, MI 48504",401,2021,8600,10255.18,Green Neighborhood,,A,01/07/2026,12/29/2025,12/29/2025,12/30/2025,1949,DONNELLY ADDITION LOT 108,Reviewing Offers,01/06/2026,,18000,0,,,,,,
4130103030,"3918  BRUNSWICK AVE
FLINT, MI 48507",401,2021,10300,3961.97,Green Neighborhood,,A,12/16/2025,07/29/2025,7/29/2025,07/29/2025,1920,ATHERTON PARK LOT 307,Reviewing Offers,12/15/2025,,24000,0,,,,,,
4635428031,"4025 MILBOURNE AVE
FLINT, MI 48504-2240",401,2024,,4377.27,,,A,,,,,1951,DONNELLY ADDITION LOT 389,Ready to Schedule,,,25000,,,,,,,
4635429010,"4106 MILBOURNE AVE
FLINT, MI 48504",401,2022,6300,3071.3,Green Neighborhood,,A,02/03/2026,01/29/2026,1/29/2026,,1950,DONNELLY ADDITION LOT 315,Reviewing Offers,02/02/2026,,16000,0,,,,,,
4635105013,"4742 BIRCHCREST DR
FLINT, MI 48504",401,2019,9700,3660.14,Traditional Neighborhood,,A,,,,,1955,MANLEY VILLAGE NO. 1 LOT 232,Needs Cleanout,,,18000,0,,,,Bundle-Occupied/Sell,,
4635235015,"4802 EDWARDS AVE
FLINT, MI 48505",401,2023,,2473.74,,,A,,,,,1953,FLINT PARK NO. 1 SLY 50 FT OF LOTS 116 AND 117.,Needs Cleanout,,,9000,,,,,,,
4636203004,"4902 M L KING AVE
FLINT, MI 48505",402,2015,8700,0,Green Neighborhood,,A,,,,,,"BOULEVARD HEIGHTS LOT 29, BLK 8",,,,,0,,,,Vacant Lot,,
4636203002,"4914 M L KING AVE
FLINT, MI 48505-3336",401,2024,550,2437.56,Green Neighborhood,,A,,,,,1950,"BOULEVARD HEIGHTS LOT 30, BLK 8",Hold,,,8000,0,,,,,,
4635230006,"5110 EDWARDS AVE
FLINT, MI 48505-3148",401,2024,,2298.08,,,A,,,,,1927,FLINT PARK NO. 1 LOT 24.,Cleaned Out,,,10000,,,,,,,
4625301046,"540 W HOME AVE
FLINT, MI 48505-2670",401,2024,,2702.93,,,A,,,,,1940,SUBURBAN GARDENS. W 1/2 OF LOT 760.,Needs Cleanout,,,15000,,,,,,,
