Parc_Id,Address Full_c,Parc_Prop_Class,Parc_Forc_Year,Parc_Occupied,Parc_Prop_Assmt,Parc_Minimum_Bid,Parc_BrownField,Zoning,Showings week,Website Publish End Date,Parc_Year_Built,Legal Description,FH_Cleanout,Offer Deadline,FH_Asking Price,Parc_Asking_Price,GCLB Owned,Parc_LRC_Sold,R4R Status,Tbl_Prop_Cat_Meaning,A_parc_CP__PID Interest::Adopt Date,A_parc_CP__PID Interest::Adopt_Void_Date
4001356010,"321 JOSEPHINE ST
FLINT, MI 48503",401,2017,No,5800,8824.96,A,,,12/06/2025,,INDIAN VILLAGE LOT 265,,,5000,0,,,Reviewing Offers,,,
4104129020,"3214 COLORADO AVE
FLINT, MI 48506",401,2019,No,7300,3436.01,A,,,,1954,Property exempt from Ad Valorem taxes and assessed on the Special Act Roll pursuant to PA 261 of 2003 expiring 12/30/2027. EASTWOOD LOT 226,none,,7000,0,,,Needs Pictures,,,
4636453007,"322  EDMUND ST
FLINT, MI 48505",401,2021,No,12000,6114.6,A,,04/27/2022,09/27/2024,1929,DEWEY HOMESTEAD ADDITION. LOT 110.,x,05/09/2022,2500,0,,,Re-R4R,,,
4625377019,"322 W PARKWAY AVE
FLINT, MI 48505",401,2018,No,8000,5140.28,A,,02/02/2023,,1950,SHARP MANOR LOT 45,x,02/13/2023,2500,0,,,Re-R4R,,,
4001106013,"323 W JAMIESON ST
FLINT, MI 48505",401,2015,No,9000,0,A,,,12/04/2025,1949,CROSS ACRES LOT 69.,,,5000,0,,,Reviewing Offers,,,
4636130008,"329 W BALTIMORE BLVD
FLINT, MI 48505",401,2019,No,7400,3870.99,A,,,,1929,FLINT PARK ALLOTMENT LOT 884; ALSO LOT 885 EXC WLY 1/2,,,3500,0,,,Hold,,,
1427553102,"3404 PARKWAY AVE
FLINT, MI 48504",402,2010,No,19500,3542.04,A,,,,,LOTS 25 & 26 BLK P NORTHWEST HEIGHTS NO 1 (74),,,,0,,,,Vacant Lot,,
1427553090,"3408 W PARKWAY AVE
FLINT, MI 48504-6927",401,2024,No,550,5499.34,A,,,11/20/2025,1955,LOT 1 BLK P NORTHWEST HEIGHTS NO 1,medium,,10000,0,,,Re-R4R,,,
4635381044,"3411 BROWNELL BLVD
FLINT, MI 48504",401,2023,,,2658.05,A,TN-2,,,1947,WOODWARD SQUARE LOT 23,medium,,6500,,,,Needs Pictures,,,
4635459015,"3416 STERLING ST
FLINT, MI 48504",402,2012,,8800,6464.31,A,,07/07/2023,,1952,WM C LAW SUBDIVISION LOT 113,x,07/17/2023,2500,0,,,,,,
4635459014,"3420 STERLING ST
FLINT, MI 48504",401,2013,No,7100,4807.53,A,,07/07/2023,,1953,WM C LAW SUBDIVISION LOT 112,x,07/17/2023,2500,0,,,Re-R4R,,,
4625256024,"345 E AUSTIN AVE
FLINT, MI 48505",401,2014,No,4700,2946.03,A,,,,1924,ROBINWOOD LOT 334,,,3500,0,,,Hold,,,
4625256025,"349 E AUSTIN AVE
FLINT, MI 48505",402,2015,No,3600,0,A,,,,,ROBINWOOD LOT 335,,,,0,,,,,,
4625452014,"350 E MOTT AVE
FLINT, MI 48505",401,2022,No,3800,4242.73,A,,,08/30/2025,1950,PIERSON PARK LOT 379,,,3000,0,,,Hold,,,
4635485010,"3502 RACE ST
FLINT, MI 48504",402,2018,No,8400,2381.2,A,,,,,DONNELLY ADDITION LOT 80,,,,0,,,,,,
4635481023,"3505 MILBOURNE AVE
FLINT, MI 48504-3550",401,2024,No,550,3164.31,A,,,03/27/2025,1950,DONNELLY ADDITION LOT 361,,,7800,0,,,Re-R4R,,,
4635481022,"3509 MILBOURNE AVE
FLINT, MI 48504",402,2013,,5900,2865.68,A,,,,,DONNELLY ADDITION LOT 362,,,,0,,,,Vacant Lot,,
4636459014,"3509 WESLEY ST
FLINT, MI 48505",402,2010,,34500,7532.41,A,,,,,PASADENA LOT 576,,,,0,,,,Vacant Lot,,
4635459025,"3513 LAWNDALE AVE
FLINT, MI 48504",401,2023,,,2557.56,A,GN-1,,,1954,WM. C. LAW SUBDIVISION LOT 66,,,5000,,,,Re-R4R,,,
4636459012,"3513 WESLEY ST
FLINT, MI 48505",401,2023,No,,2649.51,A,MR-1,,01/17/2025,1927,PASADENA LOT 577,,,3500,,,,Re-R4R,,,
4625204031,"353 E ALMA AVE
FLINT, MI 48505",402,2011,,5500,3657.22,A,,,,,ARDMORE LOT 175,,,,0,,,,Vacant Lot,,
